End Date,Name,Year,bh_type_id,Datum Height,Datum,Start Date,bh_id,Starting point,Side track start depth,Total Depth (m) AH,True Vertical Depth,Operator,Data Custodian,Sample Custodian,Latitude (GD49),Longitude (GD49),Height,Completion Report,License,Basement Reached,UWI,Purpose,Well Content,Status
1989-11-17Z,Waihapa-6A,1989,1,228.4,KB,1989-10-08Z,539,From pre-existing hole,990,3087,2808.7,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.37809444,174.35527778,221.4,1819,38140,,100000113344,development,oil,producing
1989-11-17Z,Waihapa-6,1989,1,228.4,KB,1989-08-16Z,538,Natural ground surface,,3244,3008.8,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.37809444,174.35527778,221.4,1819,38140,,100000113345,exploration,unknown,plugged and abandoned
1998-06-05Z,Toko-2B,1998,1,231,RT,1998-04-15Z,491,From pre-existing hole,2023,3630,2815,Fletcher Challenge Energy Taranaki,NZP&M,MED Core Store,-39.31848056,174.35341424,222.9,2347,38141,,100000285604,appraisal,oil,producing
1994-10-29Z,Toko-2A,1994,1,231,KB,1994-10-12Z,490,From pre-existing hole,2154,3213,,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.31848056,174.35341424,222.9,2024,38141,,100000182296,development,shows,plugged and abandoned
1994-04-29Z,Toko-2,1994,1,231,KB,1994-04-03Z,489,Natural ground surface,,3302,3177.1,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.31848056,174.35341424,222.9,2024,38141,,100000174156,development,shows,plugged and abandoned
1979-08-30Z,Toko-1,1978,1,206,KB,1978-11-17Z,828,Natural ground surface,,4900,,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.32055556,174.36722222,200,761,38034,,100000113340,exploration,dry,plugged and abandoned
1994-03-22Z,Ngaere-3,1994,1,262,KB,1994-03-17Z,249,Natural ground surface,,3259,3166.3,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.33168333,174.36069722,253.9,2025,38141,,100000171814,development,oil,producing
1998-07-24Z,Ngaere-2A,1998,1,228.4,RT,1998-06-16Z,248,Natural ground surface,,3668,2831.4,Fletcher Challenge Energy Taranaki,NZP&M,MED Core Store,-39.34663034,174.36501707,220.8,2375,38141,,100000290665,appraisal,oil,producing
1993-10-29Z,Ngaere-2,1993,1,228.4,KB,1993-10-23Z,247,Natural ground surface,,3224,2905,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.34663034,174.36501707,220.8,1956,38141,,100000166117,development,oil,producing
1993-02-27Z,Ngaere-1,1993,1,220.8,KB,1993-02-02Z,246,Natural ground surface,,3375,2879,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.35888889,174.3656,212.7,1899,38141,,100000159031,appraisal,oil,producing
2006-08-15Z,Waihapa-4 ST1,2006,1,224,RT,2006-07-31Z,961,Natural ground surface,,2860.6,2705.3,Swift Energy NZ Ltd,NZP&M,MED Core Store,-39.36416667,174.36666667,218.7,3392,38140,,100000577730,exploration,oil,shut in
1989-02-27Z,Waihapa-4,1988,1,226,KB,1988-12-13Z,536,Natural ground surface,,3200,3198.2,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.36416667,174.36666667,218.7,1852,38140,,100000113339,development,oil,producing
