End Date,Name,Year,bh_type_id,Datum Height,Datum,Start Date,bh_id,Starting point,Side track start depth,Total Depth (m) AH,True Vertical Depth,Operator,Data Custodian,Sample Custodian,Latitude (GD49),Longitude (GD49),Height,Completion Report,License,Basement Reached,UWI,Purpose,Well Content,Status
1989-11-17Z,Waihapa-6A,1989,1,228.4,KB,1989-10-08Z,539,From pre-existing hole,990,3087,2808.7,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.37809444,174.3552778,221.4,1819,38140,,1E+11,development,oil,producing
1998-06-05Z,Toko-2B,1998,1,231,RT,1998-04-15Z,491,From pre-existing hole,2023,3630,2815,Fletcher Challenge Energy Taranaki,NZP&M,MED Core Store,-39.31848056,174.3534142,222.9,2347,38141,,1E+11,appraisal,oil,producing
1994-03-22Z,Ngaere-3,1994,1,262,KB,1994-03-17Z,249,Natural ground surface,,3259,3166.3,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.33168333,174.3606972,253.9,2025,38141,,1E+11,development,oil,producing
1998-07-24Z,Ngaere-2A,1998,1,228.4,RT,1998-06-16Z,248,Natural ground surface,,3668,2831.4,Fletcher Challenge Energy Taranaki,NZP&M,MED Core Store,-39.34663034,174.3650171,220.8,2375,38141,,1E+11,appraisal,oil,producing
1993-10-29Z,Ngaere-2,1993,1,228.4,KB,1993-10-23Z,247,Natural ground surface,,3224,2905,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.34663034,174.3650171,220.8,1956,38141,,1E+11,development,oil,producing
1993-02-27Z,Ngaere-1,1993,1,220.8,KB,1993-02-02Z,246,Natural ground surface,,3375,2879,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.35888889,174.3656,212.7,1899,38141,,1E+11,appraisal,oil,producing
1989-02-27Z,Waihapa-4,1988,1,226,KB,1988-12-13Z,536,Natural ground surface,,3200,3198.2,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.36416667,174.3666667,218.7,1852,38140,,1E+11,development,oil,producing
1988-10-11Z,Waihapa-2,1988,1,238.76,KB,1988-08-03Z,534,Natural ground surface,,3236,,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.38722222,174.3666667,232,1847,38140,,1E+11,development,oil,producing
1994-12-16Z,Waihapa-8,1994,1,239.8,KB,1994-11-09Z,1066,Natural ground surface,,3618,2965.3,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.38731111,174.3668056,231.8,2104,38140,,1E+11,appraisal,oil,producing
2006-08-27Z,Waihapa H-1,2006,1,221.7,RT,2006-06-25Z,806,Natural ground surface,,3131,2588.9,Swift Energy NZ Ltd,NZP&M,MED Core Store,-39.36329522,174.3642632,216.5,3318,38140,,1.00001E+11,development,oil,producing
